STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT13,WT16,WT19
USW00013958,"AUSTIN CAMP MABRY, TX US",5/28/13,0,0,0,,91,74,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/29/13,0,0,0,,89,74,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/30/13,0,0,0,,91,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/31/13,0,0,0,,92,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/1/13,0,0,0,,95,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/2/13,0.03,0,0,,90,67,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/3/13,0,0,0,,94,64,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/4/13,0,0,0,,94,70,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/5/13,0,0,0,,94,70,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/6/13,0,0,0,,97,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/7/13,0,0,0,,88,70,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/8/13,0,0,0,,92,63,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/9/13,0.16,0,0,,90,68,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/10/13,0,0,0,,96,71,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/11/13,0,0,0,,96,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/12/13,0.02,0,0,,97,75,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/13/13,0,0,0,,97,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/14/13,0,0,0,,93,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/15/13,0,0,0,,92,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/16/13,0,0,0,,98,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/17/13,0,0,0,,99,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/18/13,0.36,0,0,,95,70,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/19/13,0,0,0,,98,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/20/13,0,0,0,,98,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/21/13,0,0,0,,99,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/22/13,0,0,0,,99,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/23/13,0,0,0,,99,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/24/13,0,0,0,,99,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/25/13,0,0,0,,101,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/26/13,0,0,0,,102,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/27/13,0,0,0,,103,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/28/13,0,0,0,,106,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/29/13,0,0,0,,108,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",6/30/13,0.35,0,0,,96,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/1/13,0,0,0,,91,73,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/2/13,0,0,0,,95,69,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/3/13,0,0,0,,96,67,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/4/13,0,0,0,,96,70,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/5/13,0,0,0,,99,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/6/13,0,0,0,,99,73,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/7/13,0,0,0,,102,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/8/13,0.07,0,0,,91,77,1,,,,,,,,,
